title,original_artist,context
First Date,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
She,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Linoleum,NOFX,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Basket Case,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
American Idiot,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Holiday,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Brain Stew,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Jaded,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
When I Come Around,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Hitchin' A Ride,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Longview,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Holden Caulfield,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Christie Road,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Burnout,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Nice Guys Finish Last,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
86,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Novacaine,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Pulling Teeth,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Jesus of Suburbia,Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Knowledge,Operation Ivy/Green Day,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Rebel Girl,Bikini Kill (listed under Green Day tab),Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Dammit,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
All The Small Things,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
The Rock Show,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Aliens Exist,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Wendy Clear,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Carousel,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
M&M's,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Dick Lips,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Dumpweed,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
What's My Age Again?,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Not Now,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Asthenia,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
I Won't Be Home For Christmas,Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Wasting Time (8-bit),Blink-182,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Chick Magnet,MxPx,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Tomorrow's Another Day,MxPx,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Middle Name,MxPx,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Responsibility,MxPx,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
In Bloom,Nirvana,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Breed,Nirvana,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
On A Plain,Nirvana,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Territorial Pissings,Nirvana,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Santeria,Sublime,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
Ruby Soho,Rancid,Rad Dad / Stalemate sets / Trailer Swift / 8-bit series / SoundCloud
